dataset,type,term,count
GenEval2,object,penguin,48
GenEval2,object,truck,46
GenEval2,object,guitar,46
GenEval2,object,horse,46
GenEval2,object,flamingo,46
GenEval2,object,monkey,45
GenEval2,object,flower,45
GenEval2,object,cow,45
GenEval2,object,cat,45
GenEval2,object,zebra,44
GenEval2,object,koala,44
GenEval2,object,donut,43
GenEval2,object,croissant,40
GenEval2,object,backpack,37
GenEval2,object,cooky,28
GenEval2,object,cookie,27
GenEval2,object,plastic,22
GenEval2,object,playing,3
GenEval2,object,koalas,3
GenEval2,object,jumping,1
LongT2IBench,object,image,1887
LongT2IBench,object,tree,1025
LongT2IBench,object,view,1000
LongT2IBench,object,scene,861
LongT2IBench,object,background,840
LongT2IBench,object,sky,834
LongT2IBench,object,light,742
LongT2IBench,object,wall,721
LongT2IBench,object,right,718
LongT2IBench,object,color,676
LongT2IBench,object,water,647
LongT2IBench,object,left,589
LongT2IBench,object,street,457
LongT2IBench,object,air,439
LongT2IBench,object,building,428
LongT2IBench,object,leaf,427
LongT2IBench,object,window,425
LongT2IBench,object,shadow,416
LongT2IBench,object,surface,415
LongT2IBench,object,corner,378
LongT2IBench,object,grass,351
LongT2IBench,object,cat,343
LongT2IBench,object,floor,341
LongT2IBench,object,sunlight,339
LongT2IBench,object,car,330
LongT2IBench,object,metal,325
LongT2IBench,object,stone,315
LongT2IBench,object,center,308
LongT2IBench,object,man,303
LongT2IBench,object,sign,296
LongT2IBench,object,line,287
LongT2IBench,object,atmosphere,285
LongT2IBench,object,frame,283
LongT2IBench,object,hand,279
LongT2IBench,object,sun,279
LongT2IBench,object,ground,279
LongT2IBench,object,flower,277
LongT2IBench,object,cloud,271
LongT2IBench,object,table,269
LongT2IBench,object,text,263
LongT2IBench,object,glass,261
LongT2IBench,object,forest,258
LongT2IBench,object,eye,255
LongT2IBench,object,child,254
LongT2IBench,object,city,252
LongT2IBench,object,branch,250
LongT2IBench,object,sense,245
LongT2IBench,object,person,235
LongT2IBench,object,bird,231
LongT2IBench,object,pattern,228
GECKONUM,object,apple,142
GECKONUM,object,image,123
GECKONUM,object,mushroom,122
GECKONUM,object,bottle,111
GECKONUM,object,koala,104
GECKONUM,object,cat,103
GECKONUM,object,table,90
GECKONUM,object,fish,66
GECKONUM,object,pizza,57
GECKONUM,object,olive,56
GECKONUM,object,samosa,52
GECKONUM,object,pencil,50
GECKONUM,object,book,46
GECKONUM,object,fly,44
GECKONUM,object,lychee,43
GECKONUM,object,crib,43
GECKONUM,object,trowel,42
GECKONUM,object,corkscrew,41
GECKONUM,object,kangaroo,40
GECKONUM,object,burger,40
GECKONUM,object,parsnip,40
GECKONUM,object,ant,39
GECKONUM,object,manatee,39
GECKONUM,object,stick,39
GECKONUM,object,okra,38
GECKONUM,object,spoon,38
GECKONUM,object,paperclip,38
GECKONUM,object,flute,38
GECKONUM,object,axolotls,36
GECKONUM,object,leaf,36
GECKONUM,object,egg,35
GECKONUM,object,cooky,35
GECKONUM,object,coconut,35
GECKONUM,object,flower,34
GECKONUM,object,chocolate,33
GECKONUM,object,pistachio,33
GECKONUM,object,dog,32
GECKONUM,object,seahorse,31
GECKONUM,object,durian,31
GECKONUM,object,bonsais,27
GECKONUM,object,left,26
GECKONUM,object,right,26
GECKONUM,object,picture,25
GECKONUM,object,tree,24
GECKONUM,object,cake,21
GECKONUM,object,piece,21
GECKONUM,object,half,20
GECKONUM,object,plate,18
GECKONUM,object,cinnamon,15
GECKONUM,object,loaf,15
Ours,object,background,181
Ours,object,tree,170
Ours,object,light,157
Ours,object,right,152
Ours,object,person,145
Ours,object,wall,144
Ours,object,building,143
Ours,object,left,143
Ours,object,sign,139
Ours,object,scene,129
Ours,object,street,126
Ours,object,table,125
Ours,object,baseball,122
Ours,object,glass,121
Ours,object,window,118
Ours,object,surface,112
Ours,object,field,112
Ours,object,pattern,106
Ours,object,hand,102
Ours,object,line,101
Ours,object,water,98
Ours,object,fence,97
Ours,object,sky,92
Ours,object,area,89
Ours,object,hair,87
Ours,object,pair,86
Ours,object,snow,85
Ours,object,bear,84
Ours,object,shirt,84
Ours,object,furry,84
Ours,object,plate,83
Ours,object,ground,82
Ours,object,dirt,81
Ours,object,brick,80
Ours,object,grass,79
Ours,object,foreground,78
Ours,object,orange,76
Ours,object,clock,74
Ours,object,frame,74
Ours,object,body,73
Ours,object,road,72
Ours,object,dog,72
Ours,object,metal,71
Ours,object,kitchen,71
Ours,object,desk,69
Ours,object,room,69
Ours,object,train,68
Ours,object,landscape,67
Ours,object,pole,64
Ours,object,car,63
TIIF-Bench,attribute,red,223
TIIF-Bench,attribute,white,199
TIIF-Bench,attribute,blue,188
TIIF-Bench,attribute,metallic,178
TIIF-Bench,attribute,wooden,168
TIIF-Bench,attribute,brown,155
TIIF-Bench,attribute,green,140
TIIF-Bench,attribute,black,116
TIIF-Bench,attribute,fluffy,111
TIIF-Bench,attribute,yellow,90
TIIF-Bench,attribute,large,71
TIIF-Bench,attribute,small,69
TIIF-Bench,attribute,vibrant,67
TIIF-Bench,attribute,tall,62
TIIF-Bench,attribute,3d,52
TIIF-Bench,attribute,plastic,51
TIIF-Bench,attribute,more,48
TIIF-Bench,attribute,spherical,47
TIIF-Bench,attribute,rectangular,47
TIIF-Bench,attribute,soft,45
TIIF-Bench,attribute,colorful,43
TIIF-Bench,attribute,conical,41
TIIF-Bench,attribute,chinese,40
TIIF-Bench,attribute,short,36
TIIF-Bench,attribute,old,35
TIIF-Bench,attribute,pink,34
TIIF-Bench,attribute,high,33
TIIF-Bench,attribute,pentagonal,32
TIIF-Bench,attribute,young,30
TIIF-Bench,attribute,cylindrical,30
TIIF-Bench,attribute,clear,29
TIIF-Bench,attribute,oblong,29
TIIF-Bench,attribute,round,28
TIIF-Bench,attribute,teardrop,27
TIIF-Bench,attribute,visible,26
TIIF-Bench,attribute,warm,26
TIIF-Bench,attribute,modern,26
TIIF-Bench,attribute,cubic,26
TIIF-Bench,attribute,bright,25
TIIF-Bench,attribute,dark,25
TIIF-Bench,attribute,sleek,24
TIIF-Bench,attribute,minimalist,24
TIIF-Bench,attribute,smooth,23
TIIF-Bench,attribute,long,23
TIIF-Bench,attribute,other,22
TIIF-Bench,attribute,present,22
TIIF-Bench,attribute,clean,21
TIIF-Bench,attribute,square,21
TIIF-Bench,attribute,elegant,21
TIIF-Bench,attribute,bold,19
TIIF-Bench (long),attribute,soft,871
TIIF-Bench (long),attribute,vibrant,691
TIIF-Bench (long),attribute,gentle,682
TIIF-Bench (long),attribute,warm,492
TIIF-Bench (long),attribute,subtle,467
TIIF-Bench (long),attribute,blue,449
TIIF-Bench (long),attribute,white,449
TIIF-Bench (long),attribute,delicate,446
TIIF-Bench (long),attribute,red,423
TIIF-Bench (long),attribute,metallic,406
TIIF-Bench (long),attribute,serene,391
TIIF-Bench (long),attribute,golden,380
TIIF-Bench (long),attribute,quiet,373
TIIF-Bench (long),attribute,wooden,368
TIIF-Bench (long),attribute,faint,344
TIIF-Bench (long),attribute,small,313
TIIF-Bench (long),attribute,bold,305
TIIF-Bench (long),attribute,silent,292
TIIF-Bench (long),attribute,green,283
TIIF-Bench (long),attribute,deep,281
TIIF-Bench (long),attribute,sleek,279
TIIF-Bench (long),attribute,polished,274
TIIF-Bench (long),attribute,intricate,273
TIIF-Bench (long),attribute,crisp,269
TIIF-Bench (long),attribute,ambient,257
TIIF-Bench (long),attribute,black,254
TIIF-Bench (long),attribute,harmonious,250
TIIF-Bench (long),attribute,overall,247
TIIF-Bench (long),attribute,smooth,230
TIIF-Bench (long),attribute,yellow,218
TIIF-Bench (long),attribute,stark,209
TIIF-Bench (long),attribute,brown,206
TIIF-Bench (long),attribute,dynamic,201
TIIF-Bench (long),attribute,vivid,198
TIIF-Bench (long),attribute,gray,190
TIIF-Bench (long),attribute,earthy,184
TIIF-Bench (long),attribute,large,180
TIIF-Bench (long),attribute,modern,178
TIIF-Bench (long),attribute,rich,169
TIIF-Bench (long),attribute,clean,167
TIIF-Bench (long),attribute,solitary,157
TIIF-Bench (long),attribute,playful,157
TIIF-Bench (long),attribute,elegant,156
TIIF-Bench (long),attribute,geometric,155
TIIF-Bench (long),attribute,dark,151
TIIF-Bench (long),attribute,natural,147
TIIF-Bench (long),attribute,striking,146
TIIF-Bench (long),attribute,tiny,145
TIIF-Bench (long),attribute,sharp,143
TIIF-Bench (long),attribute,low,139
DPGBench,attribute,white,381
DPGBench,attribute,vibrant,274
DPGBench,attribute,wooden,252
DPGBench,attribute,green,231
DPGBench,attribute,blue,226
DPGBench,attribute,red,212
DPGBench,attribute,black,208
DPGBench,attribute,soft,196
DPGBench,attribute,small,158
DPGBench,attribute,large,153
DPGBench,attribute,sleek,150
DPGBench,attribute,bright,139
DPGBench,attribute,yellow,125
DPGBench,attribute,intricate,121
DPGBench,attribute,dark,116
DPGBench,attribute,clear,115
DPGBench,attribute,smooth,113
DPGBench,attribute,warm,111
DPGBench,attribute,brown,100
DPGBench,attribute,polished,92
DPGBench,attribute,colorful,92
DPGBench,attribute,glossy,88
DPGBench,attribute,stark,85
DPGBench,attribute,golden,84
DPGBench,attribute,other,75
DPGBench,attribute,deep,74
DPGBench,attribute,tall,72
DPGBench,attribute,natural,69
DPGBench,attribute,lush,68
DPGBench,attribute,dynamic,68
DPGBench,attribute,gentle,66
DPGBench,attribute,visible,64
DPGBench,attribute,gray,63
DPGBench,attribute,open,62
DPGBench,attribute,delicate,59
DPGBench,attribute,whimsical,59
DPGBench,attribute,left,59
DPGBench,attribute,bold,58
DPGBench,attribute,detailed,57
DPGBench,attribute,metallic,55
DPGBench,attribute,light,54
DPGBench,attribute,high,54
DPGBench,attribute,right,54
DPGBench,attribute,rich,53
DPGBench,attribute,modern,53
DPGBench,attribute,subtle,52
DPGBench,attribute,few,49
DPGBench,attribute,spacious,48
DPGBench,attribute,various,48
DPGBench,attribute,striking,47
T2I-CompBench++,attribute,metallic,136
T2I-CompBench++,attribute,blue,133
T2I-CompBench++,attribute,wooden,132
T2I-CompBench++,attribute,brown,130
T2I-CompBench++,attribute,red,125
T2I-CompBench++,attribute,fluffy,120
T2I-CompBench++,attribute,green,112
T2I-CompBench++,attribute,white,112
T2I-CompBench++,attribute,black,97
T2I-CompBench++,attribute,plastic,65
T2I-CompBench++,attribute,yellow,58
T2I-CompBench++,attribute,rectangular,51
T2I-CompBench++,attribute,soft,49
T2I-CompBench++,attribute,small,43
T2I-CompBench++,attribute,spherical,43
T2I-CompBench++,attribute,smooth,40
T2I-CompBench++,attribute,pentagonal,40
T2I-CompBench++,attribute,cylindrical,37
T2I-CompBench++,attribute,round,36
T2I-CompBench++,attribute,cubic,35
T2I-CompBench++,attribute,conical,34
T2I-CompBench++,attribute,square,33
T2I-CompBench++,attribute,big,32
T2I-CompBench++,attribute,teardrop,32
T2I-CompBench++,attribute,rough,31
T2I-CompBench++,attribute,oblong,30
T2I-CompBench++,attribute,next,25
T2I-CompBench++,attribute,short,24
T2I-CompBench++,attribute,tall,23
T2I-CompBench++,attribute,circular,21
T2I-CompBench++,attribute,warm,21
T2I-CompBench++,attribute,sleek,19
T2I-CompBench++,attribute,pyramidal,16
T2I-CompBench++,attribute,pink,15
T2I-CompBench++,attribute,long,15
T2I-CompBench++,attribute,grey,13
T2I-CompBench++,attribute,hard,13
T2I-CompBench++,attribute,sharp,13
T2I-CompBench++,attribute,shiny,12
T2I-CompBench++,attribute,bright,11
T2I-CompBench++,attribute,cool,11
T2I-CompBench++,attribute,hot,10
T2I-CompBench++,attribute,colorful,10
T2I-CompBench++,attribute,fresh,10
T2I-CompBench++,attribute,natural,10
T2I-CompBench++,attribute,striped,9
T2I-CompBench++,attribute,sweet,9
T2I-CompBench++,attribute,jagged,9
T2I-CompBench++,attribute,intricate,9
T2I-CompBench++,attribute,cozy,8
GenAI-Bench,attribute,red,74
GenAI-Bench,attribute,white,56
GenAI-Bench,attribute,green,56
GenAI-Bench,attribute,blue,55
GenAI-Bench,attribute,other,52
GenAI-Bench,attribute,wooden,45
GenAI-Bench,attribute,small,41
GenAI-Bench,attribute,tall,32
GenAI-Bench,attribute,yellow,29
GenAI-Bench,attribute,old,28
GenAI-Bench,attribute,colorful,28
GenAI-Bench,attribute,large,28
GenAI-Bench,attribute,open,26
GenAI-Bench,attribute,more,25
GenAI-Bench,attribute,little,23
GenAI-Bench,attribute,vibrant,22
GenAI-Bench,attribute,black,22
GenAI-Bench,attribute,sunny,21
GenAI-Bench,attribute,young,20
GenAI-Bench,attribute,left,20
GenAI-Bench,attribute,bright,20
GenAI-Bench,attribute,soft,18
GenAI-Bench,attribute,full,17
GenAI-Bench,attribute,vintage,16
GenAI-Bench,attribute,short,16
GenAI-Bench,attribute,pink,16
GenAI-Bench,attribute,long,16
GenAI-Bench,attribute,single,15
GenAI-Bench,attribute,right,15
GenAI-Bench,attribute,cozy,15
GenAI-Bench,attribute,ceramic,15
GenAI-Bench,attribute,sleek,14
GenAI-Bench,attribute,bustling,14
GenAI-Bench,attribute,busy,14
GenAI-Bench,attribute,several,14
GenAI-Bench,attribute,big,13
GenAI-Bench,attribute,serene,12
GenAI-Bench,attribute,high,12
GenAI-Bench,attribute,tiny,12
GenAI-Bench,attribute,rustic,11
GenAI-Bench,attribute,ancient,11
GenAI-Bench,attribute,happy,11
GenAI-Bench,attribute,fluffy,11
GenAI-Bench,attribute,golden,10
GenAI-Bench,attribute,modern,10
GenAI-Bench,attribute,snowy,10
GenAI-Bench,attribute,clear,10
GenAI-Bench,attribute,curious,10
GenAI-Bench,attribute,empty,9
GenAI-Bench,attribute,excited,9
GenEval,attribute,red,35
GenEval,attribute,black,33
GenEval,attribute,blue,30
GenEval,attribute,purple,30
GenEval,attribute,yellow,30
GenEval,attribute,white,29
GenEval,attribute,green,29
GenEval,attribute,brown,25
GenEval,attribute,pink,24
GenEval,attribute,orange,23
GenEval,attribute,hot,11
GenEval,attribute,potted,8
GenEval,attribute,oven,2
GenEval2,attribute,white,78
GenEval2,attribute,brown,73
GenEval2,attribute,wooden,69
GenEval2,attribute,red,67
GenEval2,attribute,purple,65
GenEval2,attribute,blue,65
GenEval2,attribute,black,63
GenEval2,attribute,pink,60
GenEval2,attribute,green,59
GenEval2,attribute,striped,58
GenEval2,attribute,yellow,56
GenEval2,attribute,plastic,49
GenEval2,attribute,sparkling,44
GenEval2,attribute,croissant,23
GenEval2,attribute,spotted,21
GenEval2,attribute,checkered,9
GenEval2,attribute,donut,1
LongT2IBench,attribute,white,1675
LongT2IBench,attribute,black,1192
LongT2IBench,attribute,blue,907
LongT2IBench,attribute,green,762
LongT2IBench,attribute,small,655
LongT2IBench,attribute,wooden,615
LongT2IBench,attribute,left,615
LongT2IBench,attribute,large,613
LongT2IBench,attribute,visible,601
LongT2IBench,attribute,vibrant,557
LongT2IBench,attribute,right,554
LongT2IBench,attribute,gray,544
LongT2IBench,attribute,dark,514
LongT2IBench,attribute,brown,512
LongT2IBench,attribute,red,494
LongT2IBench,attribute,light,453
LongT2IBench,attribute,yellow,407
LongT2IBench,attribute,tall,366
LongT2IBench,attribute,clear,348
LongT2IBench,attribute,top,325
LongT2IBench,attribute,colorful,317
LongT2IBench,attribute,overall,297
LongT2IBench,attribute,serene,281
LongT2IBench,attribute,bustling,280
LongT2IBench,attribute,other,242
LongT2IBench,attribute,bottom,233
LongT2IBench,attribute,warm,227
LongT2IBench,attribute,pink,220
LongT2IBench,attribute,lively,215
LongT2IBench,attribute,bright,205
LongT2IBench,attribute,outdoor,205
LongT2IBench,attribute,soft,200
LongT2IBench,attribute,close,198
LongT2IBench,attribute,long,192
LongT2IBench,attribute,front,181
LongT2IBench,attribute,low,163
LongT2IBench,attribute,upper,151
LongT2IBench,attribute,fresh,148
LongT2IBench,attribute,orange,146
LongT2IBench,attribute,colored,133
LongT2IBench,attribute,digital,127
LongT2IBench,attribute,gentle,124
LongT2IBench,attribute,golden,121
LongT2IBench,attribute,natural,121
LongT2IBench,attribute,high,116
LongT2IBench,attribute,urban,115
LongT2IBench,attribute,medium,114
LongT2IBench,attribute,intricate,111
LongT2IBench,attribute,lush,110
LongT2IBench,attribute,concrete,107
GECKONUM,attribute,red,94
GECKONUM,attribute,black,94
GECKONUM,attribute,white,89
GECKONUM,attribute,green,87
GECKONUM,attribute,cinnamon,24
GECKONUM,attribute,few,23
GECKONUM,attribute,many,23
GECKONUM,attribute,more,15
GECKONUM,attribute,other,6
GECKONUM,attribute,blue,2
GECKONUM,attribute,orange,2
GECKONUM,attribute,ant,1
Ours,attribute,white,721
Ours,attribute,green,464
Ours,attribute,black,365
Ours,attribute,dark,291
Ours,attribute,red,271
Ours,attribute,blue,264
Ours,attribute,wooden,261
Ours,attribute,brown,223
Ours,attribute,light,213
Ours,attribute,large,205
Ours,attribute,small,157
Ours,attribute,right,153
Ours,attribute,soft,142
Ours,attribute,left,131
Ours,attribute,lettered,129
Ours,attribute,yellow,125
Ours,attribute,fluffy,117
Ours,attribute,visible,117
Ours,attribute,bright,108
Ours,attribute,open,107
Ours,attribute,hairy,90
Ours,attribute,vibrant,86
Ours,attribute,dry,86
Ours,attribute,closed,85
Ours,attribute,grassy,84
Ours,attribute,lush,77
Ours,attribute,messy,75
Ours,attribute,gray,74
Ours,attribute,outdoor,71
Ours,attribute,striped,67
Ours,attribute,tall,67
Ours,attribute,empty,66
Ours,attribute,pink,62
Ours,attribute,wet,60
Ours,attribute,natural,58
Ours,attribute,reflective,56
Ours,attribute,long,54
Ours,attribute,colorful,52
Ours,attribute,sandy,43
Ours,attribute,warm,43
Ours,attribute,young,42
Ours,attribute,potted,39
Ours,attribute,plain,38
Ours,attribute,paved,38
Ours,attribute,fresh,38
Ours,attribute,clear,37
Ours,attribute,snowy,35
Ours,attribute,dense,35
Ours,attribute,cluttered,35
Ours,attribute,concrete,35
